Auftrag;Geometrie;DruckerID;Volumen;Filamentdichte;Wirkleistung
3;Quader;2;8;55;56.85372
3;Quader;2;8;55;55.42642
3;Quader;2;8;55;56.673232
3;Quader;2;8;55;55.1304
3;Quader;2;8;55;56.600698
3;Quader;2;8;55;55.8558
3;Quader;2;8;55;56.372239
3;Quader;2;8;55;56.21616
3;Quader;2;8;55;55.462368
3;Quader;2;8;55;55.10684
3;Quader;2;8;55;56.21616
3;Quader;2;8;55;55.22464
3;Quader;2;8;55;32.513425
3;Quader;2;8;55;9.252624
3;Quader;2;8;55;2.44992
4;Quader;2;125;55;26.73108
4;Quader;2;125;55;101.186379
4;Quader;2;125;55;97.748112
4;Quader;2;125;55;65.1932
4;Quader;2;125;55;56.36358
4;Quader;2;125;55;54.158566
4;Quader;2;125;55;51.465076
4;Quader;2;125;55;50.13348
4;Quader;2;125;55;49.963536
4;Quader;2;125;55;49.814981
4;Quader;2;125;55;49.112064
4;Quader;2;125;55;49.048632
4;Quader;2;125;55;49.112064
4;Quader;2;125;55;34.459144
4;Quader;2;125;55;6.207516
4;Quader;2;125;55;20.954016
4;Quader;2;125;55;20.85912
4;Quader;2;125;55;27.30772
4;Quader;2;125;55;33.23214
4;Quader;2;125;55;36.466416
4;Quader;2;125;55;37.824512
4;Quader;2;125;55;38.972765
4;Quader;2;125;55;48.47565
4;Quader;2;125;55;51.878475
4;Quader;2;125;55;53.98622
4;Quader;2;125;55;55.892298
4;Quader;2;125;55;56.372239
4;Quader;2;125;55;56.192136
4;Quader;2;125;55;56.912548
4;Quader;2;125;55;56.93688
4;Quader;2;125;55;56.649054
4;Quader;2;125;55;56.829465
4;Quader;2;125;55;57.190287
4;Quader;2;125;55;56.912548
4;Quader;2;125;55;57.248268
4;Quader;2;125;55;56.790888
4;Quader;2;125;55;56.644896
4;Quader;2;125;55;57.867732
4;Quader;2;125;55;56.970606
4;Quader;2;125;55;56.839552
4;Quader;2;125;55;56.839552
4;Quader;2;125;55;57.395184
4;Quader;2;125;55;57.312332
4;Quader;2;125;55;56.18718
4;Quader;2;125;55;57.312332
4;Quader;2;125;55;57.468642
4;Quader;2;125;55;57.082872
4;Quader;2;125;55;56.90223
4;Quader;2;125;55;57.05854
4;Quader;2;125;55;56.995015
4;Quader;2;125;55;56.81522
